项目名称,发布日期,建设地点,一级地区,二级地区
青海矿业集团股份有限公司60万吨/年烯烃项目,2017-04-05,青海省海西蒙古族藏族自治州格尔木市格尔木工业园,青海,海西蒙古族藏族自治州
锡林郭勒峰峰能源有限公司查干淖尔一号井项目,2017-03-17,内蒙古锡林郭勒盟阿巴嘎旗查干淖尔,内蒙古,锡林郭勒盟
大同煤矿集团有限责任公司梵王寺矿井及选煤厂项目,2017-03-17,山西省朔州市朔城区,山西,朔州市
黑龙江省富锦市锦西灌区工程,2017-03-17,黑龙江省佳木斯市,黑龙江,佳木斯市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,徐州市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,宿迁市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,盐城市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,淮安市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,扬州市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,泰州市
江苏省淮河流域重点平原洼地近期治理工程,2017-03-17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,南通市
蒙西煤制天然气外输管道项目,2017-02-28,内蒙古自治区、山西省、河北省、天津市,河北,
蒙西煤制天然气外输管道项目,2017-02-28,内蒙古自治区、山西省、河北省、天津市,山西,
蒙西煤制天然气外输管道项目,2017-02-28,内蒙古自治区、山西省、河北省、天津市,内蒙古,
蒙西煤制天然气外输管道项目,2017-02-28,内蒙古自治区、山西省、河北省、天津市,天津,
中国石化青宁输气管道工程,2017-02-28,山东省 江苏省,江苏,
中国石化青宁输气管道工程,2017-02-28,山东省 江苏省,山东,
陕西永陇矿区麟游区招贤煤矿项目,2017-02-28,陕西省宝鸡市麟游县招贤镇,陕西,宝鸡市
山西煤炭进出口集团河曲旧县露天煤业有限公司兼并重组整合变更项目,2017-02-28,山西省忻州市 河曲 县 旧县乡,山西,忻州市
综合极端条件实验装置项目,2017-02-28,北京市怀柔区雁栖经济开发区、 吉林省长春市高新技术开发区吉林大学中心校区,吉林,长春市
综合极端条件实验装置项目,2017-02-28,北京市怀柔区雁栖经济开发区、 吉林省长春市高新技术开发区吉林大学中心校区,北京,怀柔区
青海省海西州那棱格勒河水利枢纽工程,2017-02-28,青海省海西州格尔木市,青海,
伊泰伊犁能源有限公司100万吨/年煤制油示范项目,2017-01-18,新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县,新疆,伊犁哈萨克自治州
金沙江上游巴塘水电站,2017-01-18,四川省甘孜州巴塘县和西藏自治区昌都市芒康县,四川,
金沙江上游巴塘水电站,2017-01-18,四川省甘孜州巴塘县和西藏自治区昌都市芒康县,西藏,昌都市
引绰济辽工程,2017-01-18,内蒙古自治区兴安盟、通辽市,内蒙古,兴安盟
引绰济辽工程,2017-01-18,内蒙古自治区兴安盟、通辽市,内蒙古,通辽市
内蒙古吉煤矿业有限公司霍林河二号（达来胡硕）矿井及选煤厂,2017-01-18,内蒙古自治区通辽市,内蒙古,通辽市
滁河汊河船闸重建工程,2016-12-14,安徽省滁州市来安县汊河镇，江苏省南京市浦口区,江苏,南京市
滁河汊河船闸重建工程,2016-12-14,安徽省滁州市来安县汊河镇，江苏省南京市浦口区,安徽,滁州市
福建省泉州白濑水利枢纽工程,2016-12-14,福建省泉州市,福建,泉州市
湖北碾盘山水利水电枢纽工程,2016-12-14,湖北省荆门市、钟祥市,湖北,荆门市
高海拔宇宙线观测站项目,2016-12-14,四川省甘孜州稻城县,四川,
浙江石油化工有限公司4000万吨/年炼化一体化项目,2016-12-14,浙江省舟山市岱山县,浙江,舟山市
新建铁路贵阳至南宁客运专线,2016-12-14,贵州省贵阳市、黔南布依族苗族自治州、广西壮族自治区南宁市、河池市,广西,南宁市
新建铁路贵阳至南宁客运专线,2016-12-14,贵州省贵阳市、黔南布依族苗族自治州、广西壮族自治区南宁市、河池市,广西,河池市
