项目名称,发布日期,建设地点,一级地区,二级地区
青海矿业集团股份有限公司60万吨/年烯烃项目,2017/4/5,青海省海西蒙古族藏族自治州格尔木市格尔木工业园,青海,海西蒙古族藏族自治州
锡林郭勒峰峰能源有限公司查干淖尔一号井项目,2017/3/17,内蒙古锡林郭勒盟阿巴嘎旗查干淖尔,内蒙古,锡林郭勒盟
大同煤矿集团有限责任公司梵王寺矿井及选煤厂项目,2017/3/17,山西省朔州市朔城区,山西,朔州市
黑龙江省富锦市锦西灌区工程,2017/3/17,黑龙江省佳木斯市,黑龙江,佳木斯市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,徐州市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,宿迁市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,盐城市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,淮安市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,扬州市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,泰州市
江苏省淮河流域重点平原洼地近期治理工程,2017/3/17,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏,南通市
蒙西煤制天然气外输管道项目,2017/2/28,内蒙古自治区、山西省、河北省、天津市,内蒙古,
蒙西煤制天然气外输管道项目,2017/2/28,内蒙古自治区、山西省、河北省、天津市,山西,
蒙西煤制天然气外输管道项目,2017/2/28,内蒙古自治区、山西省、河北省、天津市,河北,
蒙西煤制天然气外输管道项目,2017/2/28,内蒙古自治区、山西省、河北省、天津市,天津,
中国石化青宁输气管道工程,2017/2/28,山东省江苏省,山东,
中国石化青宁输气管道工程,2017/2/28,山东省江苏省,江苏,
陕西永陇矿区麟游区招贤煤矿项目,2017/2/28,陕西省宝鸡市麟游县招贤镇,陕西,宝鸡市
山西煤炭进出口集团河曲旧县露天煤业有限公司兼并重组整合变更项目,2017/2/28,山西省忻州市河曲县旧县乡,山西,忻州市
综合极端条件实验装置项目,2017/2/28,北京市怀柔区雁栖经济开发区、吉林省长春市高新技术开发区吉林大学中心校区,北京,怀柔区
综合极端条件实验装置项目,2017/2/28,北京市怀柔区雁栖经济开发区、吉林省长春市高新技术开发区吉林大学中心校区,吉林,长春市
青海省海西州那棱格勒河水利枢纽工程,2017/2/28,青海省海西州格尔木市,青海,海西蒙古族藏族自治州
