项目名称,项目概况,总投资,环保投资,环保投资占比
青海矿业集团股份有限公司60万吨/年烯烃项目,项目以当地煤炭为原料，采用煤气化、甲醇合成、甲醇制烯烃等生产工艺，生产乙烯26万吨/年、聚丙烯41.54万吨/年等产品。建设内容主要包括：（1）主体工程：空分、煤气化、变换、低温甲醇洗、硫磺回收、甲醇合成、MTO、MTBE/丁烯-1、烯烃转化和聚丙烯等10套生产装置。（2）公用工程：循环水系统、热动力站、火炬系统等。（3）储运工程：煤储运、罐区、仓库等。（4）环保工程：废水处理系统、回用水处理系统、废气处理设施等。项目总投资211.44亿元，其中环保投资为 15.93亿元，占总投资的7.5%。,211.44亿元,15.93亿元,7.50%
锡林郭勒峰峰能源有限公司查干淖尔一号井项目,该项目属查干淖尔矿区规划矿井，井田面积83.4平方公里，设计规模500万吨/年，配套同等规模选煤厂，服务年限192.6年。采用立井开拓，采用综采一次采全高，全部跨落法管理顶板。主要建设主立井、副立井、回风立井、选煤厂等主体及其辅助、储运、公用及环保工程。产品煤经全封闭输煤廊道输至查干淖尔电厂。总投资29.22亿元，其中环保投资2947.49万元，占总投资的1.01%。,29.22亿元,2947.49万元,1.01%
大同煤矿集团有限责任公司梵王寺矿井及选煤厂项目,该项目属晋北煤炭基地朔南矿区，井田面积67平方公里，设计规模600万吨/年，配套建设同等规模选煤厂，服务年限64.3年。属瓦斯矿井。立井开拓方式，全部冒落法管理顶板。主要建设主立井、副立井、回风立井、选煤厂等主体工程及其辅助工程，原煤仓、产品仓、中煤仓及场外道路等储运工程，供水、供电以及矿井水、生活污水处理站等公用及环保工程。工程总投资68.747亿元，其中环保投资2588万元，占总投资的0.38%。,68.747亿元,2588万元,0.38%
黑龙江省富锦市锦西灌区工程,工程任务为建设从松花江提水的灌溉水源工程和灌区灌排工程系统，解决锦西灌区农业灌溉用水要求。灌区多年平均引松水量3.53亿立方米，设计灌溉面积110.33万亩。工程建设内容主要包括新建松花江引渠及锦西渠首提水泵站1座；新建灌溉总干渠9.398公里，结合现有排水沟道扩建（灌排）干渠141.01公里；新扩建（灌排）支渠（沟）83条，总长289.34公里。新建渠系建筑物332座，新建机电井1764眼。工程总投资26.26亿元，其中环保投资7287.4万元。,26.26亿元,7287.4万元,
江苏省淮河流域重点平原洼地近期治理工程,工程任务为通过疏浚河道和加固堤防，提高现有河道的排涝防洪能力；通过新建、重建、扩建、维修加固现有建筑物，使治理区形成完整的防洪排涝体系。工程主要建设内容包括：疏浚河道430.77公里，疏浚排涝沟199.98公里；堤防工程254.1公里；跨河桥梁工程174座；泵站工程180座；涵闸工程432座；闸站结合工程102座。工程总投资76.83亿元，其中环保投资28614.17万元。,76.83亿元,28614.17万元,
蒙西煤制天然气外输管道项目,工程包括1条干线、3条支线、1条联络线和5条连接管道，线路全长1279公里。干线起于内蒙古鄂尔多斯杭锦旗首站，止于河北黄骅市黄骅末站，设计输气量200亿立方米/年，气源为鄂尔多斯地区及山西大同煤制天然气项目；全线设工艺场站17座、截断阀室50座；穿越大中型河流102处，穿越铁路23处、高等级公路124处，设山体隧道12处；新改扩建伴行路61.2公里、施工便道506.15公里。项目总投资210.6亿元，其中环保投资12.6亿元，占总投资的6.0%。,210.6亿元,12.6亿元,6.00%
中国石化青宁输气管道工程,"工程起于山东省青岛市山东LNG首站，止于江苏省南京市南京输气站，与川气东送相连。全长约536公里，管径1016毫米，设计压力为10.0兆帕，设计输量为100亿立方米/年。本工程规划气源为山东LNG、江苏华电赣榆LNG，拟为沿线目标市场供气。共设站场11座，RTU阀室22座；穿越河流93处,穿越高速公路8处、其他高等级公路54处，穿越铁路8处；新建施工便道6.6公里，改扩建施工便道7.15公里，新建施工便桥62座，改扩建施工便桥213座。工程总投资67.7亿元，其中环保投资3.4亿元，占总投资的5.0%。",67.7亿元,3.4亿元,5.00%
陕西永陇矿区麟游区招贤煤矿项目,该项目属永陇矿区麟游区新建矿井之一。井田面积79.2平方公里，可采面积37.06平方公里。设计规模240万吨/年，配套建设同等规模选煤厂，服务年限57.8年。属高瓦斯矿井。采用斜井开拓，长壁综采放顶煤采煤法，全部跨落法管理顶板。选煤采用重介浅槽分选工艺。主要建设主斜井、副立井、回风立井、选煤厂及瓦斯抽采站等主体及其辅助工程、储运工程、公用工程、环保工程以及瓦斯发电站等依托工程。总投资22.86亿元，其中环保投资5742.1万元，占总投资的2.51%。,22.86亿元,5742.1万元,2.51%
山西煤炭进出口集团河曲旧县露天煤业有限公司兼并重组整合变更项目,2012年4月，我部以环审〔2012〕100号文对《山西煤炭进出口集团河曲旧县露天煤业有限公司兼并重组整合项目环境影响报告书》予以批复，井田面积24.95平方公里，设计生产能力300万吨/年，服务年限71.85年。工程变更主要内容：外排土场由1个增加至4个，工业场地数量由10个减少至3个，位置发生变化；锅炉台数由4台减少至2台等。变更后矿田面积、设计可采储量、设计生产能力、服务年限与原环评批复一致。本工程露天采掘系统、工业场地及外排土场均已基本建成。工程总投资21.93亿元，环保投资4496.7万元，占工程总投资的2.05%。,21.93亿元,4496.7万元,2.05%
,,,,
